id	分类模块	族	类型	英文	中文	状态
	界面文案	通用界面	ui	Ice Shelf 6	冰架6	ok
	界面文案	通用界面	ui	An ice shelf with multiple large icebergs.	有多座大冰山的冰架	ok
	界面文案	通用界面	ui	Ice Shelf 7	冰架7	ok
	界面文案	通用界面	ui	An ice shelf with multiple large icebergs.	有多座大冰山的冰架	ok
	界面文案	通用界面	ui	Ice Shelf 8	冰架8	ok
	界面文案	通用界面	ui	An ice shelf with two very large icebergs.	有两个非常大的冰山的冰架	ok
	界面文案	通用界面	ui	Ice Shelf 9	冰架9	ok
	界面文案	通用界面	ui	A dense ice shelf with many large icebergs.	有许多大冰山的稠密冰架	ok
	界面文案	通用界面	ui	Ice Shelf 10	冰架10	ok
	界面文案	通用界面	ui	Two small icebergs.	两个小冰山	ok
	界面文案	通用界面	ui	Ice Shelf 11	冰架11	ok
	界面文案	通用界面	ui	An ice shelf with multiple large icebergs.	有多座大冰山的冰架	ok
	界面文案	通用界面	ui	Ice Shelf 12	冰架12	ok
	界面文案	通用界面	ui	An ice shelf with multiple large icebergs.	有多座大冰山的冰架	ok
	界面文案	地形与环境	ui	Volcano Northwest	西北火山	ok
	界面文案	地形与环境	ui	Northwest region of a dormant volcano.	休眠火山的西北地区	ok
	界面文案	地形与环境	ui	Volcano North	火山北部	ok
	界面文案	地形与环境	ui	Northern region of a dormant volcano.	休眠火山的北部地区	ok
	界面文案	地形与环境	ui	Volcano Northeast	火山东北部	ok
	界面文案	地形与环境	ui	Northeast region of a dormant volcano.	休眠火山东北部地区	ok
	界面文案	地形与环境	ui	Volcano West	西火山	ok
	界面文案	地形与环境	ui	Western region of a dormant volcano.	休眠火山的西部地区	ok
	界面文案	地形与环境	ui	Volcano Center	火山中心	ok
	界面文案	地形与环境	ui	Central region of a dormant volcano.	休眠火山的中心区域	ok
	界面文案	地形与环境	ui	Volcano East	火山东部	ok
	界面文案	地形与环境	ui	Eastern region of a dormant volcano.	一座休眠火山的东部地区	ok
	界面文案	地形与环境	ui	Volcano Southwest	西南火山	ok
	界面文案	地形与环境	ui	Southwest region of a dormant volcano.	休眠火山西南部地区	ok
	界面文案	地形与环境	ui	Volcano South	火山南部	ok
	界面文案	地形与环境	ui	Southern region of a dormant volcano.	休眠火山的南部地区	ok
	界面文案	地形与环境	ui	Volcano Southeast	东南火山	ok
	界面文案	地形与环境	ui	Southeast region of a dormant volcano.	休眠火山东南部地区	ok
	界面文案	生物与角色	ui	Special Outfit	特殊装备	ok
	界面文案	通用界面	ui	None	无	ok
	界面文案	通用界面	ui	Diving	深水作业	ok
	界面文案	通用界面	ui	Firefighter	消防	ok
	界面文案	通用界面	ui	Scuba	水肺潜水	ok
	界面文案	通用界面	ui	Parachute	降落伞	ok
	界面文案	通用界面	ui	Arctic	极地	ok
	界面文案	任务与剧情	ui	SET OBJECTIVE	设定目标	ok
	界面文案	任务与剧情	ui	ADD COMPONENTS TO MISSION	向任务添加组件	ok
	界面文案	通用界面	ui	IN MISSON	在任务中	ok
	界面文案	通用界面	ui	SET TRIGGER	设置触发器	ok
	界面文案	通用界面	ui	ZONES	区域	ok
	界面文案	通用界面	ui	ZONE	区域	ok
	界面文案	载具与工坊	ui	VEHICLE BUTTONS	载具按钮	ok
	界面文案	载具与工坊	ui	VEHICLE BUTTON	载具按钮	ok
	界面文案	任务与剧情	ui	OBJECTIVES	目标	ok
	界面文案	任务与剧情	ui	OBJECTIVE	目标	ok
	界面文案	通用界面	ui	SET ACTION COMPONENTS	设置动作组件	ok
	界面文案	通用界面	ui	DEPENDENCIES	依赖关系	ok
	界面文案	任务与剧情	ui	SET ACTION OBJECTIVES	制定行动目标	ok
	界面文案	创意工坊与上传	ui	Uploading to workshop. Please wait...	上传到创意工坊。请稍候...	ok
	界面文案	通用界面	ui	Loading. Please wait...	加载中。请稍候...	ok
	界面文案	创意工坊与上传	ui	Your addon has errors that must be fixed in order to upload to the Steam workshop:\n\n	你的插件存在以下错误导致无法更新至创意工坊:\n\n	ok
	界面文案	创意工坊与上传	ui	CANNOT UPLOAD TO WORKSHOP	无法上传到创意工坊	ok
	界面文案	任务与剧情	ui	Your mission has errors that must be fixed before it can be tested:\n\n	您的任务有错误，必须先修复这些错误，然后才能进行测试。\n\n	ok
	界面文案	任务与剧情	ui	CANNOT SPAWN MISSION	无法生成任务	ok
	界面文案	创意工坊与上传	ui	WORKSHOP UPLOAD FAILED	创意工坊上传失败	ok
	界面文案	通用界面	ui	COMPONENTS OVERLAPPING	零件重叠	ok
	界面文案	创意工坊与上传	ui	Your addon has failed to upload to the Steam workshop.	你的插件上传到创意工坊的过程中出错了	ok
	界面文案	创意工坊与上传	ui	Your workshop addon has failed to update.	你的创意工坊插件更新失败	ok
	界面文案	创意工坊与上传	ui	ADDON UPLOAD COMPLETE	插件上传完成	ok
	界面文案	创意工坊与上传	ui	Your addon was successfully uploaded to the Steam workshop.\n\n We recommend heading to your addon's workshop page to add more information about the content you've included.\n\n Any vehicles used in your addon have been included as part of the upload. Players will not need to separately subscribe to any of these vehicles.	你的插件已经成功的上传到了Steam创意工坊\n\n我们建议您去该插件的创意工坊界面添加说明信息。\n\n任何插件内的载具都作为该插件的一部分被上传上去了。玩家不需要额外订阅载具	ok
	界面文案	创意工坊与上传	ui	ADDON UPDATE COMPLETE	插件上传完成	ok
	界面文案	创意工坊与上传	ui	Your addon was updated successfully.\n\nYou can customise the changelog for this update by heading to your addon's workshop page to let your subscribers know what's new.	你的插件上传成功\n\n你可以去创意工坊插件页为这此更新自定义更新日志，来让你的订阅者知道更新了什么	ok
	界面文案	任务与剧情	ui	missions	任务	ok
	界面文案	任务与剧情	ui	mission	任务	ok
	界面文案	任务与剧情	ui	objectives	目标	ok
	界面文案	任务与剧情	ui	objective	目标	ok
	界面文案	通用界面	ui	triggers	触发器	ok
	界面文案	通用界面	ui	trigger	触发器	ok
	界面文案	通用界面	ui	This component is currently required by	当前组件存在依赖关系	ok
	界面文案	通用界面	ui	Are you sure you want to delete it?	确定要删除它吗？	ok
	界面文案	创意工坊与上传	ui	Workshop upload must have a name	必须要有名字才能上传到创意工坊	ok
	界面文案	创意工坊与上传	ui	Workshop upload must be renamed	必须重命名才能上传到创意工坊	ok
	界面文案	创意工坊与上传	ui	This addon includes the following	这个组件包含以下物品	ok
	界面文案	任务与剧情	ui	mission(s)	任务	ok
	界面文案	任务与剧情	ui	Please note that some missions in this addon will only naturally spawn if certain criteria are met(such as owning a specific type of island, or having unlocked fire equipment).	请注意该插件中的一些任务会在一些情况下自然生成(例如拥有了特定类型的岛屿，或是解锁了特定装备)	ok
	界面文案	任务与剧情	ui	The author of this addon has tagged it as creative, so some or all included missions may be unsuitable for career mode.	这个插件被作者标记为创造模式插件，所以该插件的一些或所有内容也许不适合生涯模式	ok
	界面文案	创意工坊与上传	ui	(If you are the author of this addon, you can edit this description to add more details)	(如果你是这个插件的作者，你可以编辑这个描述增加更多信息)	ok
	界面文案	创意工坊与上传	ui	Uploaded	上传	ok
	界面文案	创意工坊与上传	ui	to the Workshop.	去创意工坊	ok
	界面文案	通用界面	ui	Updated	更新	ok
	界面文案	创意工坊与上传	ui	Addon must have a name	插件必须有一个名字	ok
	界面文案	创意工坊与上传	ui	Addon must be renamed	插件必须重命名	ok
	界面文案	任务与剧情	ui	MISSION OVERVIEW	任务概述	ok
	界面文案	通用界面	ui	No dependencies set.	未设置依赖项	ok
	界面文案	通用界面	ui	[no zone set]	[未设置区域]	ok
	界面文案	载具与工坊	ui	[no vehicle button set]	[未设置载具按钮]	ok
	界面文案	任务与剧情	ui	[no objective set]	[未设定目标]	ok
	界面文案	通用界面	ui	[no buttons set]	[未设置按钮]	ok
	界面文案	通用界面	ui	[no flares set]	[没有信号弹]	ok
	界面文案	通用界面	ui	[no fires set]	[未设置火]	ok
	界面文案	通用界面	ui	[no message set]	[没有消息集]	ok
	界面文案	任务与剧情	ui	[no objectives set]	[未设定目标]	ok
	界面文案	载具与工坊	ui	Loading vehicles...	加载载具...	ok
	界面文案	通用界面	ui	Saving game...	保存游戏...	ok
	界面文案	通用界面	ui	Occupied	已占用	ok
	界面文案	通用界面	ui	Place Character In	将角色放置于此	ok
	界面文案	通用界面	ui	Pick Up Character	扛起角色	ok
	界面文案	通用界面	ui	Store	存储	ok
	界面文案	通用界面	ui	Equip	装备	ok
	界面文案	通用界面	ui	Restock	补充	ok
	界面文案	通用界面	ui	Swap to	交换到	ok
	界面文案	通用界面	ui	Release	释放	ok
	界面文案	通用界面	ui	Tap	点击	ok
	界面文案	通用界面	ui	Grab	抓住	ok
	界面文案	通用界面	ui	Hold	按住	ok
	界面文案	通用界面	ui	Tether	栓住	ok
	界面文案	通用界面	ui	Structure	结构	ok
	界面文案	载具与工坊	ui	Vehicle	载具	ok
	界面文案	编辑器与建造	ui	Return To Workbench	返回工作台	ok
	界面文案	通用界面	ui	Deceased	已死亡	ok
	界面文案	通用界面	ui	Stop Following	停止跟随	ok
	界面文案	通用界面	ui	Follow	跟随	ok
	界面文案	通用界面	ui	Purchase Property\n$	购买基地\n$	ok
	界面文案	通用界面	ui	Purchase Property to Use	购买基地以解锁使用	ok
	界面文案	通用界面	ui	Not Available	不可用	ok
	界面文案	通用界面	ui	Not Available When Carrying Someone	背着人员时不可用	ok
	界面文案	载具与工坊	ui	Spawning...	正在生成...	ok
	界面文案	编辑器与建造	ui	SAVE SELECTION	保存所选内容	ok
	界面文案	载具与工坊	ui	SAVE VEHICLE	保存载具	ok
	界面文案	通用界面	ui	DISABLED	禁用	ok
	界面文案	载具与工坊	ui	X PLANE	X平面	ok
	界面文案	载具与工坊	ui	Y PLANE	Y平面	ok
	界面文案	载具与工坊	ui	Z PLANE	Z平面	ok
	界面文案	通用界面	ui	none set	未设置	ok
	界面文案	通用界面	ui	Fast-travel Location	快速旅行地点	ok
	界面文案	通用界面	ui	CLICK TO TRAVEL HERE	点击此处旅行	ok
	界面文案	通用界面	ui	Property for sale	待售基地	ok
	界面文案	通用界面	ui	You are here	你在这里	ok
	界面文案	编辑器与建造	ui	CLICK TO TAKE TO WORKBENCH	点击进入工作台	ok
	界面文案	通用界面	ui	Waypoint	航路点	ok
	界面文案	物理与机制	ui	Fuel Location	燃料站	ok
	界面文案	通用界面	ui	exit bed	离开床	ok
	界面文案	通用界面	ui	change view	更改视角	ok
	界面文案	通用界面	ui	Infinite	无限的	ok
	界面文案	通用界面	ui	Are you sure you want to purchase this property?	您确定要购买此岛屿吗？	ok
	界面文案	警告与错误	ui	You cannot afford to purchase this property at the moment	你现在买不起这个岛屿	ok
	界面文案	通用界面	ui	FAST TRAVEL	快速旅行	ok
	界面文案	通用界面	ui	Are you sure you want to travel to this location?	你确定要去这个地方吗？	ok
	界面文案	通用界面	ui	Cancel	取消	ok
	界面文案	通用界面	ui	Confirm	确认	ok
	界面文案	编辑器与建造	ui	TAKE TO WORKBENCH	带到工作台	ok
	界面文案	编辑器与建造	ui	Are you sure you want to take this vehicle back to the workbench?	你确定要把这辆载具带回工作台吗？	ok
	界面文案	任务与剧情	ui	Are you sure you want to spawn this mission?	你确定要生成此任务吗？	ok
	界面文案	任务与剧情	ui	Only missions available on the server are possible to spawn.	只有服务器上可用的任务才可能生成	ok
	界面文案	任务与剧情	ui	SPAWN MISSION	生成任务	ok
	界面文案	任务与剧情	ui	REMOVE MISSION	删除任务	ok
	界面文案	通用界面	ui	BEGIN RESEARCH	开始研究	ok
	界面文案	警告与错误	ui	Are you sure you want to begin researching ###?\n\nThis will spend some of your Research Points and cannot be cancelled.	你确定要开始研究 ### 吗？\n\n这将花费您的一些研究点，无法取消	ok
	界面文案	任务与剧情	ui	Are you sure you want to remove this mission?\n\nThis will cause all spawned objects and vehicles created by this mission to be removed from the world.\n\n(You can respawn this mission from the mission selector)	确定要删除此任务吗？\n\n这将导致此任务创建的所有衍生对象和载具从世界上删除。\n\n(您可以从任务选择器重新生成此任务)	ok
	界面文案	通用界面	ui	Map	地图	ok
	界面文案	任务与剧情	ui	Missions	任务	ok
	界面文案	通用界面	ui	Research	研究	ok
	界面文案	任务与剧情	ui	No missions available. Sleep in a bed to fast-forward, or click the (+) button to manually spawn a mission.	没有任务可用。睡在床上快进时间，或单击“+”按钮手动生成任务	ok
	界面文案	通用界面	ui	show controls	显示控制说明	ok
	界面文案	通用界面	ui	hide controls	隐藏控制说明	ok
	界面文案	任务与剧情	ui	No Active Mission	没有当前激活任务	ok
	界面文案	载具与工坊	ui	Recommended difficulty for new players. No vehicle or character damage. No advanced vehicle mechanics.	新玩家的推荐难度。无载具或人物损坏。没有高级载具选项	ok
	界面文案	任务与剧情	ui	Survival difficulty. Advanced vehicle mechanics. Transmission pipes. Injuries and death. No starting vehicles.	生存困难。高级载具。传输管道。受伤和死亡。没有起始载具	ok
